"zipcode","spa_2012","spa_name","district","label"
"90001",6,"South","2","District 2"
"90002",6,"South","2","District 2"
"90003",6,"South","2","District 2"
"90004",4,"Metro","2","District 2"
"90005",4,"Metro","2","District 2"
"90006",4,"Metro","2","District 2"
"90007",6,"South","2","District 2"
"90008",6,"South","2","District 2"
"90010",4,"Metro","2","District 2"
"90011",6,"South","2","District 2"
"90012",4,"Metro","1","District 1"
"90013",4,"Metro","1","District 1"
"90014",4,"Metro","1","District 1"
"90015",4,"Metro","1","District 1"
"90016",6,"South","2","District 2"
"90017",4,"Metro","1","District 1"
"90018",6,"South","2","District 2"
"90019",4,"Metro","2","District 2"
"90020",4,"Metro","2","District 2"
"90021",4,"Metro","2","District 2"
"90022",7,"East","1","District 1"
"90023",4,"Metro","1","District 1"
"90024",5,"West","3","District 3"
"90025",5,"West","3","District 3"
"90026",4,"Metro","1","District 1"
"90027",4,"Metro","3","District 3"
"90028",4,"Metro","3","District 3"
"90029",4,"Metro","3","District 3"
"90031",4,"Metro","1","District 1"
"90032",4,"Metro","1","District 1"
"90033",4,"Metro","1","District 1"
"90034",5,"West","2","District 2"
"90035",5,"West","2","District 2"
"90036",4,"Metro","3","District 3"
"90037",6,"South","2","District 2"
"90038",4,"Metro","3","District 3"
"90039",4,"Metro","1","District 1"
"90040",7,"East","1","District 1"
"90041",4,"Metro","1","District 1"
"90042",4,"Metro","1","District 1"
"90043",6,"South","2","District 2"
"90044",6,"South","2","District 2"
"90045",5,"West","2","District 2"
"90046",4,"Metro","3","District 3"
"90047",6,"South","2","District 2"
"90048",4,"Metro","3","District 3"
"90049",5,"West","3","District 3"
"90056",5,"West","2","District 2"
"90057",4,"Metro","1","District 1"
"90058",7,"East","1","District 1"
"90059",6,"South","2","District 2"
"90061",6,"South","2","District 2"
"90062",6,"South","2","District 2"
"90063",7,"East","1","District 1"
"90064",5,"West","2","District 2"
"90065",4,"Metro","1","District 1"
"90066",5,"West","2","District 2"
"90067",5,"West","3","District 3"
"90068",4,"Metro","3","District 3"
"90069",4,"Metro","3","District 3"
"90071",4,"Metro","1","District 1"
"90073",8,"South Bay","4","District 4"
"90077",5,"West","3","District 3"
"90089",8,"South Bay","4","District 4"
"90094",5,"West","2","District 2"
"90095",8,"South Bay","4","District 4"
"90201",7,"East","1","District 1"
"90210",5,"West","3","District 3"
"90211",5,"West","3","District 3"
